Time,THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
00:30:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
00:45:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
01:00:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
01:15:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
01:30:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
01:45:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
02:00:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
02:15:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
02:30:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
02:45:00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,8.572259E+02,0.000000E+00,5.254095E-02,0.000000E+00,3.302910E+02,0.000000E+00,2.024414E-02,0.000000E+00,8.564695E+02,0.000000E+00,5.249459E-02,0.000000E+00 
