Time,THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s] 
00:15:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
00:30:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
00:45:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
01:00:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
01:15:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
01:30:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
01:45:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
02:00:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
02:15:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
02:30:00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.842691E+03,0.000000E+00,3.581093E-01,0.000000E+00,5.863121E+03,0.000000E+00,3.593615E-01,0.000000E+00,2.902851E+04,0.000000E+00,1.779211E+00,0.000000E+00 
