Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION_State College  Penn State   Su_PA_USA_TMY3_725128,40.72,-77.93,-5,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Design Conditions,Title of Design Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Summer - Week Nearest Max Temperature For Period,Extreme,15-Jul,21-Jul,Summer - Week Nearest Average Temperature For Period,Typical,26-Aug,1-Sep,Winter - Week Nearest Min Temperature For Period,Extreme,29-Jan,4-Feb,Winter - Week Nearest Average Temperature For Period,Typical,22-Jan,28-Jan,Autumn - Week Nearest Average Temperature For Period,Typical,29-Oct,4-Nov,Spring - Week Nearest Average Temperature For Period,Typical,29-Apr,5-May,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.5,,,,3.56,-0.21,-1.24,-0.35,4.74,10.43,15.79,19.67,20.8,18.98,14.59,9.06,2,,,,6.94,3.41,1.73,1.67,4.36,8.25,12.44,16.04,17.89,17.54,15.07,11.26,4,,,,9.15,6.41,4.73,4.21,5.2,7.47,10.29,13.06,14.91,15.36,14.3,12.07,
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment Line #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom/User Format -- WMO#725128; NREL TMY Data Set (2008); Period of Record 1973-2005 (Generally),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment Line #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Data,Sunday,1/1/2012,12/31/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr},,,,,,,,,,,,,,,,,,
Date,HH:MM,Datasource,xxxxxxxxxxxxxxxx,Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr},,,,,,,,,,,,,,,,,,
1/1/2005,1:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-1.9,-2,99,101789,9999,9999,269,9999,2,0,9999,9999,9999,9999,202,0.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,2:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-2,-2.1,99,101753,9999,9999,277,9999,3,0,9999,9999,9999,9999,202,0.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,3:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-1.8,-1.9,99,101761,9999,9999,270,9999,3,-1,9999,9999,9999,9999,203,1,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,4:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-1.4,-1.4,100,101741,9999,9999,272,9999,4,0,9999,9999,9999,9999,225,1.4,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,5:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-1.4,-1.4,100,101695,9999,9999,280,9999,4,0,9999,9999,9999,9999,225,1.5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,6:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-1,-1.1,100,101717,9999,9999,273,9999,2,0,9999,9999,9999,9999,225,1.2,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,7:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-0.8,-0.8,100,101750,9999,9999,275,9999,2,0,9999,9999,9999,9999,225,1,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,8:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,0,-0.1,99,101754,9999,9999,278,9999,2,0,9999,9999,9999,9999,225,1.2,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,9:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,0.1,-0.1,98,101747,9999,9999,287,9999,2,0,9999,9999,9999,9999,231,0.6,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,10:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,1,-0.2,92,101756,9999,9999,267,9999,2,0,9999,9999,9999,9999,278,2.5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,11:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,1.1,-1.2,85,101742,9999,9999,266,9999,3,0,9999,9999,9999,9999,271,3.1,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,12:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,0.6,-1.2,87,101700,9999,9999,249,9999,4,0,9999,9999,9999,9999,270,2.1,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,13:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,0.8,-1.5,85,101608,9999,9999,250,9999,3,3,9999,9999,9999,9999,286,2,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,14:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,1.1,-2.7,76,101562,9999,9999,250,9999,3,35,9999,9999,9999,9999,295,3.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,15:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-0.2,-3.8,77,101611,9999,9999,244,9999,2,57,9999,9999,9999,9999,277,4.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,16:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-1.6,-5.5,75,101674,9999,9999,238,9999,1,133,9999,9999,9999,9999,285,3.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,17:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-2.6,-6.5,74,101688,9999,9999,234,9999,1,172,9999,9999,9999,9999,278,4.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,18:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-3.2,-6.8,76,101681,9999,9999,231,9999,194,223,9999,9999,9999,9999,271,3.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,19:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-3.7,-6.6,80,101696,9999,9999,230,9999,0,171,9999,9999,9999,9999,274,4.5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,20:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-4,-7.5,77,101692,9999,9999,228,9999,-1,82,9999,9999,9999,9999,274,5.2,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,21:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-4.3,-7.8,77,101681,9999,9999,227,9999,0,71,9999,9999,9999,9999,276,4.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,22:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-4.6,-8,78,101645,9999,9999,225,9999,0,31,9999,9999,9999,9999,276,4.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,23:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-5,-8.3,78,101614,9999,9999,224,9999,1,0,9999,9999,9999,9999,272,4.6,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/1/2005,24:00:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-5.4,-8.6,78,101564,9999,9999,257,9999,1,0,9999,9999,9999,9999,272,4.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,1:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-5.6,-8.9,77,101518,9999,9999,255,9999,1,0,9999,9999,9999,9999,278,4.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,2:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-5.7,-9.2,76,101489,9999,9999,234,9999,1,0,9999,9999,9999,9999,286,4.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,3:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-5.8,-9.4,76,101494,9999,9999,233,9999,1,0,9999,9999,9999,9999,285,4,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,4:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-6,-9.6,76,101480,9999,9999,232,9999,1,0,9999,9999,9999,9999,283,4.5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,5:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-6.4,-9.6,78,101468,9999,9999,252,9999,1,0,9999,9999,9999,9999,296,3.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,6:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-6.6,-10.4,75,101501,9999,9999,250,9999,1,0,9999,9999,9999,9999,311,3.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,7:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7,-11.3,71,101522,9999,9999,248,9999,1,0,9999,9999,9999,9999,298,3.6,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,8:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.5,-11.5,73,101547,9999,9999,246,9999,1,0,9999,9999,9999,9999,300,4,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,9:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.7,-13.4,64,101568,9999,9999,243,9999,1,0,9999,9999,9999,9999,308,5.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,10:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.7,-13.7,62,101607,9999,9999,243,9999,1,0,9999,9999,9999,9999,304,6.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,11:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.7,-14,61,101610,9999,9999,243,9999,1,0,9999,9999,9999,9999,309,6.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,12:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.7,-14.6,58,101576,9999,9999,236,9999,1,0,9999,9999,9999,9999,300,6.9,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,13:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.7,-14.5,58,101548,9999,9999,242,9999,1,2,9999,9999,9999,9999,305,7.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,14:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.6,-14.3,59,101550,9999,9999,243,9999,2,56,9999,9999,9999,9999,313,6.4,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,15:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.6,-14.4,58,101568,9999,9999,243,9999,146,135,9999,9999,9999,9999,311,6.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,16:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.5,-14,60,101605,9999,9999,211,9999,306,152,9999,9999,9999,9999,292,5.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,17:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-8.1,-13.4,66,101665,9999,9999,222,9999,146,224,9999,9999,9999,9999,294,5.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,18:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-8.5,-15.1,59,101733,9999,9999,219,9999,66,272,9999,9999,9999,9999,291,7.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,19:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-9.1,-14.7,64,101792,9999,9999,237,9999,56,286,9999,9999,9999,9999,291,6,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,20:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-9.4,-14.7,65,101797,9999,9999,236,9999,149,176,9999,9999,9999,9999,283,5.9,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,21:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-9.7,-14.2,70,101795,9999,9999,235,9999,1,79,9999,9999,9999,9999,274,4.9,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,22:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10,-14.3,71,101756,9999,9999,234,9999,0,24,9999,9999,9999,9999,280,4.4,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,23:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.1,-14.4,71,101745,9999,9999,234,9999,0,0,9999,9999,9999,9999,271,4.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/2/2005,24:00:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.2,-14.4,71,101701,9999,9999,233,9999,1,0,9999,9999,9999,9999,281,4.7,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,1:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.3,-14.6,71,101650,9999,9999,233,9999,1,0,9999,9999,9999,9999,282,5.2,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,2:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.5,-15.1,69,101607,9999,9999,232,9999,1,0,9999,9999,9999,9999,281,5.5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,3:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.6,-15.4,68,101557,9999,9999,231,9999,1,0,9999,9999,9999,9999,278,4.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,4:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.7,-15.4,68,101508,9999,9999,230,9999,1,0,9999,9999,9999,9999,286,5.1,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,5:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.8,-15.2,70,101410,9999,9999,230,9999,1,0,9999,9999,9999,9999,282,5.5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,6:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.9,-15.2,71,101367,9999,9999,224,9999,1,0,9999,9999,9999,9999,278,7.1,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,7:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.8,-15.1,71,101328,9999,9999,230,9999,1,0,9999,9999,9999,9999,283,7.2,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,8:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.6,-14.8,71,101333,9999,9999,231,9999,1,0,9999,9999,9999,9999,283,6.2,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,9:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.3,-14.5,72,101330,9999,9999,233,9999,1,0,9999,9999,9999,9999,265,5.6,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,10:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.3,-14.4,72,101320,9999,9999,233,9999,1,0,9999,9999,9999,9999,261,5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,11:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-10.1,-14.3,71,101277,9999,9999,234,9999,1,0,9999,9999,9999,9999,253,5.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,12:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-9.4,-13.7,71,101203,9999,9999,237,9999,1,0,9999,9999,9999,9999,263,7.1,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,13:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-8.9,-13.1,71,101163,9999,9999,239,9999,0,3,9999,9999,9999,9999,265,6.2,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,14:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-8.6,-12.7,72,101156,9999,9999,241,9999,0,34,9999,9999,9999,9999,263,5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,15:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-8.3,-12.4,73,101190,9999,9999,242,9999,1,57,9999,9999,9999,9999,273,5.5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,16:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.7,-11.8,72,101225,9999,9999,245,9999,4,105,9999,9999,9999,9999,273,5.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,17:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.7,-11,77,101245,9999,9999,246,9999,17,199,9999,9999,9999,9999,264,4.6,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,18:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.2,-10.8,75,101315,9999,9999,247,9999,1,156,9999,9999,9999,9999,271,3.5,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,19:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.1,-10.7,75,101326,9999,9999,248,9999,0,98,9999,9999,9999,9999,276,4.9,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,20:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.3,-10.9,76,101397,9999,9999,247,9999,1,76,9999,9999,9999,9999,272,4.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,21:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.7,-11.1,77,101425,9999,9999,245,9999,0,57,9999,9999,9999,9999,273,4.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,22:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-8,-11.4,77,101448,9999,9999,244,9999,0,18,9999,9999,9999,9999,260,4.1,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,23:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-8.4,-11.7,77,101434,9999,9999,242,9999,1,0,9999,9999,9999,9999,258,4.1,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/3/2005,24:00:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-8.3,-11.6,77,101415,9999,9999,243,9999,1,0,9999,9999,9999,9999,262,3.8,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/4/2005,1:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.8,-11.1,77,101389,9999,9999,245,9999,1,0,9999,9999,9999,9999,266,3.4,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
1/4/2005,2:00,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9*9*9*_*9*9,-7.4,-10.9,76,101354,9999,9999,247,9999,1,0,9999,9999,9999,9999,277,4.3,99,99,9999,9999,9,'999999999,999,0.999,999,99,999,0,99,,,,,,,,,,,,,,,,,,
