Time,THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,3.381065E+03,0.000000E+00,2.071881E-01,0.000000E+00,5.661067E+03,1.077994E+03,3.469387E-01,7.544455E-02,3.378761E+03,0.000000E+00,2.070470E-01,0.000000E+00,3.381065E+03,0.000000E+00,2.071881E-01,0.000000E+00,3.378761E+03,0.000000E+00,2.070470E-01,0.000000E+00 
00:30:00,3.381072E+03,0.000000E+00,2.071886E-01,0.000000E+00,5.661082E+03,1.016828E+03,3.469396E-01,7.116333E-02,3.378768E+03,0.000000E+00,2.070474E-01,0.000000E+00,3.381072E+03,0.000000E+00,2.071886E-01,0.000000E+00,3.378768E+03,0.000000E+00,2.070474E-01,0.000000E+00 
00:45:00,3.381078E+03,0.000000E+00,2.071890E-01,0.000000E+00,5.661095E+03,9.561991E+02,3.469404E-01,6.691984E-02,3.378774E+03,0.000000E+00,2.070478E-01,0.000000E+00,3.381078E+03,0.000000E+00,2.071890E-01,0.000000E+00,3.378774E+03,0.000000E+00,2.070478E-01,0.000000E+00 
01:00:00,3.381084E+03,0.000000E+00,2.071893E-01,0.000000E+00,5.661106E+03,8.961298E+02,3.469411E-01,6.271560E-02,3.378780E+03,0.000000E+00,2.070481E-01,0.000000E+00,3.381084E+03,0.000000E+00,2.071893E-01,0.000000E+00,3.378780E+03,0.000000E+00,2.070481E-01,0.000000E+00 
01:15:00,3.381089E+03,0.000000E+00,2.071896E-01,0.000000E+00,5.661116E+03,8.433735E+02,3.469417E-01,5.902323E-02,3.378785E+03,0.000000E+00,2.070484E-01,0.000000E+00,3.381089E+03,0.000000E+00,2.071896E-01,0.000000E+00,3.378785E+03,0.000000E+00,2.070484E-01,0.000000E+00 
01:30:00,3.381093E+03,0.000000E+00,2.071899E-01,0.000000E+00,5.661125E+03,7.920722E+02,3.469423E-01,5.543276E-02,3.378789E+03,0.000000E+00,2.070487E-01,0.000000E+00,3.381093E+03,0.000000E+00,2.071899E-01,0.000000E+00,3.378789E+03,0.000000E+00,2.070487E-01,0.000000E+00 
01:45:00,3.381097E+03,0.000000E+00,2.071901E-01,0.000000E+00,5.661133E+03,7.421784E+02,3.469427E-01,5.194083E-02,3.378793E+03,0.000000E+00,2.070489E-01,0.000000E+00,3.381097E+03,0.000000E+00,2.071901E-01,0.000000E+00,3.378793E+03,0.000000E+00,2.070489E-01,0.000000E+00 
02:00:00,3.381101E+03,0.000000E+00,2.071903E-01,0.000000E+00,5.661140E+03,6.937329E+02,3.469431E-01,4.855032E-02,3.378797E+03,0.000000E+00,2.070492E-01,0.000000E+00,3.381101E+03,0.000000E+00,2.071903E-01,0.000000E+00,3.378797E+03,0.000000E+00,2.070492E-01,0.000000E+00 
02:15:00,3.381104E+03,0.000000E+00,2.071905E-01,0.000000E+00,5.661146E+03,6.463013E+02,3.469435E-01,4.523078E-02,3.378800E+03,0.000000E+00,2.070493E-01,0.000000E+00,3.381104E+03,0.000000E+00,2.071905E-01,0.000000E+00,3.378800E+03,0.000000E+00,2.070493E-01,0.000000E+00 
02:30:00,3.381106E+03,0.000000E+00,2.071907E-01,0.000000E+00,5.661151E+03,6.000076E+02,3.469439E-01,4.199091E-02,3.378803E+03,0.000000E+00,2.070495E-01,0.000000E+00,3.381106E+03,0.000000E+00,2.071907E-01,0.000000E+00,3.378803E+03,0.000000E+00,2.070495E-01,0.000000E+00 
02:45:00,3.381109E+03,0.000000E+00,2.071909E-01,0.000000E+00,5.661156E+03,5.548958E+02,3.469442E-01,3.883377E-02,3.378805E+03,0.000000E+00,2.070497E-01,0.000000E+00,3.381109E+03,0.000000E+00,2.071909E-01,0.000000E+00,3.378805E+03,0.000000E+00,2.070497E-01,0.000000E+00 
03:00:00,3.381111E+03,0.000000E+00,2.071910E-01,0.000000E+00,5.661161E+03,5.109925E+02,3.469444E-01,3.576123E-02,3.378807E+03,0.000000E+00,2.070498E-01,0.000000E+00,3.381111E+03,0.000000E+00,2.071910E-01,0.000000E+00,3.378807E+03,0.000000E+00,2.070498E-01,0.000000E+00 
03:15:00,3.381113E+03,0.000000E+00,2.071911E-01,0.000000E+00,5.661165E+03,4.678246E+02,3.469447E-01,3.274015E-02,3.378810E+03,0.000000E+00,2.070499E-01,0.000000E+00,3.381113E+03,0.000000E+00,2.071911E-01,0.000000E+00,3.378810E+03,0.000000E+00,2.070499E-01,0.000000E+00 
03:30:00,3.381115E+03,0.000000E+00,2.071912E-01,0.000000E+00,5.661168E+03,4.253525E+02,3.469449E-01,2.976778E-02,3.378811E+03,0.000000E+00,2.070501E-01,0.000000E+00,3.381115E+03,0.000000E+00,2.071912E-01,0.000000E+00,3.378811E+03,0.000000E+00,2.070501E-01,0.000000E+00 
03:45:00,3.381117E+03,0.000000E+00,2.071914E-01,0.000000E+00,5.661171E+03,3.835980E+02,3.469451E-01,2.684564E-02,3.378813E+03,0.000000E+00,2.070502E-01,0.000000E+00,3.381117E+03,0.000000E+00,2.071914E-01,0.000000E+00,3.378813E+03,0.000000E+00,2.070502E-01,0.000000E+00 
04:00:00,3.381119E+03,0.000000E+00,2.071914E-01,0.000000E+00,5.661174E+03,3.425811E+02,3.469452E-01,2.397512E-02,3.378815E+03,0.000000E+00,2.070503E-01,0.000000E+00,3.381119E+03,0.000000E+00,2.071914E-01,0.000000E+00,3.378815E+03,0.000000E+00,2.070503E-01,0.000000E+00 
04:15:00,3.381120E+03,0.000000E+00,2.071915E-01,0.000000E+00,5.661177E+03,3.028070E+02,3.469454E-01,2.119158E-02,3.378816E+03,0.000000E+00,2.070504E-01,0.000000E+00,3.381120E+03,0.000000E+00,2.071915E-01,0.000000E+00,3.378816E+03,0.000000E+00,2.070504E-01,0.000000E+00 
04:30:00,3.381121E+03,0.000000E+00,2.071916E-01,0.000000E+00,5.661179E+03,2.642746E+02,3.469456E-01,1.849494E-02,3.378818E+03,0.000000E+00,2.070504E-01,0.000000E+00,3.381121E+03,0.000000E+00,2.071916E-01,0.000000E+00,3.378818E+03,0.000000E+00,2.070504E-01,0.000000E+00 
04:45:00,3.381123E+03,0.000000E+00,2.071917E-01,0.000000E+00,5.661181E+03,2.269846E+02,3.469457E-01,1.588525E-02,3.378819E+03,0.000000E+00,2.070505E-01,0.000000E+00,3.381123E+03,0.000000E+00,2.071917E-01,0.000000E+00,3.378819E+03,0.000000E+00,2.070505E-01,0.000000E+00 
