Time,THERMAL ZONE 15:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,6.883259E+02,5.189696E+02,4.217978E-02,3.631652E-02,6.885083E+02,5.924561E+02,4.219096E-02,4.145899E-02,6.373646E+02,2.426488E+02,3.905894E-02,1.698052E-02,6.373646E+02,2.439368E+02,3.905894E-02,1.707067E-02,5.677685E+02,5.407514E+02,3.479393E-02,3.784161E-02,6.883144E+02,5.161160E+02,4.217908E-02,3.611683E-02,6.378449E+02,2.720760E+02,3.908837E-02,1.903988E-02,6.883259E+02,5.269897E+02,4.217978E-02,3.687775E-02,5.674516E+02,4.576819E+02,3.477451E-02,3.202843E-02,1.505663E+01,1.685507E+01,9.228211E-04,1.179574E-03,6.373388E+02,2.386311E+02,3.905736E-02,1.669937E-02,5.674516E+02,4.671408E+02,3.477451E-02,3.269036E-02,1.516162E+01,4.504714E+00,9.292836E-04,3.152604E-04,1.182896E+01,1.473385E+01,7.250189E-04,1.031136E-03,5.674322E+02,4.551915E+02,3.477333E-02,3.185415E-02 
00:30:00,6.883294E+02,5.085998E+02,4.217999E-02,3.559086E-02,6.885118E+02,5.778656E+02,4.219117E-02,4.043798E-02,6.373668E+02,2.363815E+02,3.905908E-02,1.654184E-02,6.373668E+02,2.376147E+02,3.905908E-02,1.662814E-02,5.677713E+02,5.267119E+02,3.479411E-02,3.685912E-02,6.883180E+02,5.057336E+02,4.217929E-02,3.539028E-02,6.378471E+02,2.628568E+02,3.908851E-02,1.839463E-02,6.883294E+02,5.162293E+02,4.217999E-02,3.612476E-02,5.674544E+02,4.483891E+02,3.477469E-02,3.137808E-02,1.505692E+01,1.646282E+01,9.228390E-04,1.152123E-03,6.373410E+02,2.323730E+02,3.905749E-02,1.626133E-02,5.674544E+02,4.573541E+02,3.477469E-02,3.200545E-02,1.516183E+01,4.218384E+00,9.292966E-04,2.952213E-04,1.182917E+01,1.436066E+01,7.250318E-04,1.005019E-03,5.674351E+02,4.458260E+02,3.477350E-02,3.119871E-02 
00:45:00,6.883327E+02,4.985726E+02,4.218020E-02,3.488916E-02,6.885151E+02,5.638747E+02,4.219137E-02,3.945891E-02,6.373688E+02,2.302073E+02,3.905920E-02,1.610971E-02,6.373688E+02,2.314446E+02,3.905920E-02,1.619630E-02,5.677740E+02,5.132922E+02,3.479427E-02,3.591999E-02,6.883212E+02,4.956917E+02,4.217949E-02,3.468756E-02,6.378491E+02,2.544542E+02,3.908863E-02,1.780657E-02,6.883327E+02,5.058297E+02,4.218020E-02,3.539701E-02,5.674571E+02,4.394331E+02,3.477485E-02,3.075132E-02,1.505718E+01,1.608587E+01,9.228554E-04,1.125743E-03,6.373430E+02,2.262169E+02,3.905762E-02,1.583049E-02,5.674571E+02,4.479309E+02,3.477485E-02,3.134600E-02,1.516203E+01,3.974638E+00,9.293085E-04,2.781627E-04,1.182937E+01,1.400336E+01,7.250437E-04,9.800137E-04,5.674378E+02,4.368048E+02,3.477366E-02,3.056739E-02 
01:00:00,6.883357E+02,4.888759E+02,4.218038E-02,3.421057E-02,6.885181E+02,5.504551E+02,4.219156E-02,3.851980E-02,6.373707E+02,2.243059E+02,3.905931E-02,1.569671E-02,6.373707E+02,2.254579E+02,3.905931E-02,1.577733E-02,5.677765E+02,5.004617E+02,3.479442E-02,3.502209E-02,6.883243E+02,4.859796E+02,4.217968E-02,3.400790E-02,6.378509E+02,2.467315E+02,3.908874E-02,1.726608E-02,6.883357E+02,4.957783E+02,4.218038E-02,3.469359E-02,5.674596E+02,4.308003E+02,3.477500E-02,3.014718E-02,1.505743E+01,1.572298E+01,9.228705E-04,1.100346E-03,6.373448E+02,2.203115E+02,3.905773E-02,1.541721E-02,5.674596E+02,4.388562E+02,3.477500E-02,3.071093E-02,1.516220E+01,3.769017E+00,9.293192E-04,2.637723E-04,1.182955E+01,1.366066E+01,7.250547E-04,9.560296E-04,5.674403E+02,4.281142E+02,3.477382E-02,2.995920E-02 
01:15:00,6.883385E+02,4.798760E+02,4.218055E-02,3.358074E-02,6.885210E+02,5.379609E+02,4.219173E-02,3.764543E-02,6.373723E+02,2.188608E+02,3.905941E-02,1.531565E-02,6.373723E+02,2.199506E+02,3.905941E-02,1.539191E-02,5.677789E+02,4.885478E+02,3.479457E-02,3.418831E-02,6.883271E+02,4.769643E+02,4.217985E-02,3.337698E-02,6.378526E+02,2.397676E+02,3.908884E-02,1.677870E-02,6.883385E+02,4.864411E+02,4.218055E-02,3.404015E-02,5.674620E+02,4.228298E+02,3.477515E-02,2.958936E-02,1.505766E+01,1.537879E+01,9.228844E-04,1.076258E-03,6.373465E+02,2.148921E+02,3.905783E-02,1.503794E-02,5.674620E+02,4.304681E+02,3.477515E-02,3.012389E-02,1.516236E+01,3.585375E+00,9.293290E-04,2.509200E-04,1.182972E+01,1.333665E+01,7.250650E-04,9.333537E-04,5.674426E+02,4.200925E+02,3.477396E-02,2.939781E-02 
01:30:00,6.883412E+02,4.713270E+02,4.218072E-02,3.298245E-02,6.885236E+02,5.261318E+02,4.219189E-02,3.681760E-02,6.373738E+02,2.135636E+02,3.905950E-02,1.494493E-02,6.373738E+02,2.146944E+02,3.905950E-02,1.502407E-02,5.677811E+02,4.772856E+02,3.479470E-02,3.340014E-02,6.883297E+02,4.683997E+02,4.218002E-02,3.277760E-02,6.378541E+02,2.331850E+02,3.908894E-02,1.631802E-02,6.883412E+02,4.775716E+02,4.218072E-02,3.341943E-02,5.674642E+02,4.152722E+02,3.477528E-02,2.906044E-02,1.505787E+01,1.504772E+01,9.228972E-04,1.053087E-03,6.373480E+02,2.095670E+02,3.905792E-02,1.466528E-02,5.674642E+02,4.225160E+02,3.477528E-02,2.956736E-02,1.516251E+01,3.394452E+00,9.293379E-04,2.375583E-04,1.182987E+01,1.302567E+01,7.250746E-04,9.115896E-04,5.674448E+02,4.124898E+02,3.477410E-02,2.886573E-02 
01:45:00,6.883436E+02,4.632206E+02,4.218087E-02,3.241515E-02,6.885261E+02,5.149455E+02,4.219205E-02,3.603477E-02,6.373752E+02,2.083359E+02,3.905959E-02,1.457910E-02,6.373752E+02,2.095346E+02,3.905959E-02,1.466298E-02,5.677832E+02,4.666487E+02,3.479483E-02,3.265574E-02,6.883322E+02,4.602781E+02,4.218017E-02,3.220924E-02,6.378555E+02,2.268037E+02,3.908902E-02,1.587144E-02,6.883436E+02,4.691606E+02,4.218087E-02,3.283082E-02,5.674663E+02,4.081162E+02,3.477541E-02,2.855964E-02,1.505806E+01,1.472903E+01,9.229091E-04,1.030785E-03,6.373494E+02,2.042224E+02,3.905800E-02,1.429127E-02,5.674663E+02,4.149872E+02,3.477541E-02,2.904047E-02,1.516264E+01,3.176555E+00,9.293460E-04,2.223087E-04,1.183002E+01,1.272695E+01,7.250835E-04,8.906836E-04,5.674469E+02,4.052943E+02,3.477423E-02,2.836216E-02 
02:00:00,6.883459E+02,4.555521E+02,4.218101E-02,3.187851E-02,6.885284E+02,5.043845E+02,4.219219E-02,3.529572E-02,6.373764E+02,2.030404E+02,3.905966E-02,1.420854E-02,6.373764E+02,2.043634E+02,3.905966E-02,1.430112E-02,5.677851E+02,4.566159E+02,3.479495E-02,3.195363E-02,6.883345E+02,4.525949E+02,4.218031E-02,3.167157E-02,6.378567E+02,2.206999E+02,3.908910E-02,1.544431E-02,6.883459E+02,4.612029E+02,4.218101E-02,3.227394E-02,5.674683E+02,4.013547E+02,3.477553E-02,2.808645E-02,1.505824E+01,1.442219E+01,9.229200E-04,1.009310E-03,6.373506E+02,1.988504E+02,3.905808E-02,1.391537E-02,5.674683E+02,4.078732E+02,3.477553E-02,2.854261E-02,1.516276E+01,2.925773E+00,9.293534E-04,2.047578E-04,1.183015E+01,1.243987E+01,7.250917E-04,8.705924E-04,5.674489E+02,3.984981E+02,3.477435E-02,2.788654E-02 
02:15:00,6.883481E+02,4.481900E+02,4.218114E-02,3.136332E-02,6.885305E+02,4.943034E+02,4.219232E-02,3.459026E-02,6.373776E+02,1.976560E+02,3.905973E-02,1.383178E-02,6.373776E+02,1.990645E+02,3.905973E-02,1.393033E-02,5.677870E+02,4.470629E+02,3.479507E-02,3.128510E-02,6.883367E+02,4.452193E+02,4.218044E-02,3.115543E-02,6.378579E+02,2.149632E+02,3.908917E-02,1.504287E-02,6.883481E+02,4.535660E+02,4.218114E-02,3.173952E-02,5.674701E+02,3.948793E+02,3.477565E-02,2.763330E-02,1.505840E+01,1.412596E+01,9.229301E-04,9.885791E-04,6.373517E+02,1.934543E+02,3.905815E-02,1.353778E-02,5.674701E+02,4.010641E+02,3.477565E-02,2.806611E-02,1.516287E+01,2.653574E+00,9.293601E-04,1.857080E-04,1.183028E+01,1.216365E+01,7.250994E-04,8.512615E-04,5.674508E+02,3.919932E+02,3.477446E-02,2.743133E-02 
02:30:00,6.883501E+02,4.411278E+02,4.218127E-02,3.086912E-02,6.885326E+02,4.846845E+02,4.219245E-02,3.391715E-02,6.373786E+02,1.923283E+02,3.905980E-02,1.345899E-02,6.373786E+02,1.937302E+02,3.905980E-02,1.355707E-02,5.677888E+02,4.379695E+02,3.479518E-02,3.064875E-02,6.883387E+02,4.381451E+02,4.218057E-02,3.066040E-02,6.378589E+02,2.096235E+02,3.908923E-02,1.466921E-02,6.883501E+02,4.462426E+02,4.218127E-02,3.122704E-02,5.674719E+02,3.886822E+02,3.477576E-02,2.719962E-02,1.505856E+01,1.383989E+01,9.229394E-04,9.685591E-04,6.373528E+02,1.881570E+02,3.905822E-02,1.316711E-02,5.674719E+02,3.945510E+02,3.477576E-02,2.761032E-02,1.516297E+01,2.373257E+00,9.293662E-04,1.660902E-04,1.183039E+01,1.189777E+01,7.251066E-04,8.326535E-04,5.674526E+02,3.857716E+02,3.477457E-02,2.699594E-02 
02:45:00,6.883521E+02,4.343600E+02,4.218139E-02,3.039552E-02,6.885345E+02,4.755125E+02,4.219256E-02,3.327531E-02,6.373796E+02,1.871022E+02,3.905986E-02,1.309330E-02,6.373796E+02,1.884866E+02,3.905986E-02,1.319017E-02,5.677905E+02,4.293185E+02,3.479528E-02,3.004335E-02,6.883406E+02,4.313670E+02,4.218068E-02,3.018608E-02,6.378599E+02,2.044694E+02,3.908929E-02,1.430853E-02,6.883521E+02,4.392266E+02,4.218139E-02,3.073608E-02,5.674736E+02,3.827571E+02,3.477586E-02,2.678498E-02,1.505870E+01,1.356356E+01,9.229481E-04,9.492203E-04,6.373538E+02,1.829967E+02,3.905828E-02,1.280602E-02,5.674736E+02,3.883265E+02,3.477586E-02,2.717473E-02,1.516306E+01,2.088512E+00,9.293717E-04,1.461625E-04,1.183050E+01,1.164171E+01,7.251134E-04,8.147336E-04,5.674543E+02,3.798267E+02,3.477468E-02,2.657991E-02 
03:00:00,6.883539E+02,4.278815E+02,4.218150E-02,2.994217E-02,6.885363E+02,4.667729E+02,4.219268E-02,3.266373E-02,6.373805E+02,1.820209E+02,3.905991E-02,1.273774E-02,6.373805E+02,1.833773E+02,3.905991E-02,1.283265E-02,5.677921E+02,4.210932E+02,3.479538E-02,2.946775E-02,6.883425E+02,4.248799E+02,4.218080E-02,2.973212E-02,6.378608E+02,1.994191E+02,3.908934E-02,1.395513E-02,6.883539E+02,4.325125E+02,4.218150E-02,3.026623E-02,5.674752E+02,3.770978E+02,3.477596E-02,2.638895E-02,1.505883E+01,1.329653E+01,9.229561E-04,9.305330E-04,6.373547E+02,1.780035E+02,3.905833E-02,1.245662E-02,5.674752E+02,3.823835E+02,3.477596E-02,2.675884E-02,1.516314E+01,1.802842E+00,9.293767E-04,1.261702E-04,1.183061E+01,1.139499E+01,7.251197E-04,7.974671E-04,5.674559E+02,3.741521E+02,3.477477E-02,2.618280E-02 
03:15:00,6.883556E+02,4.215651E+02,4.218160E-02,2.950016E-02,6.885380E+02,4.583288E+02,4.219278E-02,3.207282E-02,6.373813E+02,1.770238E+02,3.905996E-02,1.238807E-02,6.373813E+02,1.783447E+02,3.905996E-02,1.248050E-02,5.677936E+02,4.131809E+02,3.479547E-02,2.891404E-02,6.883442E+02,4.185570E+02,4.218090E-02,2.928965E-02,6.378616E+02,1.942767E+02,3.908940E-02,1.359529E-02,6.883556E+02,4.259722E+02,4.218160E-02,2.980856E-02,5.674767E+02,3.716031E+02,3.477605E-02,2.600442E-02,1.505895E+01,1.303791E+01,9.229636E-04,9.124336E-04,6.373555E+02,1.731089E+02,3.905838E-02,1.211412E-02,5.674767E+02,3.766196E+02,3.477605E-02,2.635548E-02,1.516321E+01,1.518835E+00,9.293813E-04,1.062942E-04,1.183070E+01,1.115715E+01,7.251256E-04,7.808220E-04,5.674574E+02,3.686465E+02,3.477487E-02,2.579752E-02 
03:30:00,6.883572E+02,4.154036E+02,4.218170E-02,2.906899E-02,6.885397E+02,4.501645E+02,4.219288E-02,3.150150E-02,6.373821E+02,1.721248E+02,3.906001E-02,1.204525E-02,6.373821E+02,1.734056E+02,3.906001E-02,1.213488E-02,5.677951E+02,4.055640E+02,3.479556E-02,2.838101E-02,6.883458E+02,4.123913E+02,4.218100E-02,2.885819E-02,6.378624E+02,1.889479E+02,3.908944E-02,1.322241E-02,6.883572E+02,4.195978E+02,4.218170E-02,2.936249E-02,5.674782E+02,3.662650E+02,3.477614E-02,2.563086E-02,1.505906E+01,1.278728E+01,9.229705E-04,8.948938E-04,6.373563E+02,1.683225E+02,3.905843E-02,1.177918E-02,5.674782E+02,3.710262E+02,3.477614E-02,2.596406E-02,1.516328E+01,1.032530E+00,9.293855E-04,7.226061E-05,1.183079E+01,1.092772E+01,7.251311E-04,7.647661E-04,5.674589E+02,3.633021E+02,3.477496E-02,2.542352E-02 
03:45:00,6.883588E+02,4.093899E+02,4.218180E-02,2.864816E-02,6.885412E+02,4.422651E+02,4.219298E-02,3.094872E-02,6.373828E+02,1.673328E+02,3.906005E-02,1.170992E-02,6.373828E+02,1.685708E+02,3.906005E-02,1.179656E-02,5.677965E+02,3.982262E+02,3.479565E-02,2.786752E-02,6.883473E+02,4.063759E+02,4.218110E-02,2.843725E-02,6.378631E+02,1.836042E+02,3.908949E-02,1.284850E-02,6.883588E+02,4.133820E+02,4.218180E-02,2.892752E-02,5.674796E+02,3.610763E+02,3.477623E-02,2.526776E-02,1.505917E+01,1.254423E+01,9.229770E-04,8.778846E-04,6.373570E+02,1.636499E+02,3.905847E-02,1.145221E-02,5.674796E+02,3.655953E+02,3.477623E-02,2.558400E-02,1.516334E+01,6.180199E-01,9.293893E-04,4.325153E-05,1.183088E+01,1.070625E+01,7.251363E-04,7.492667E-04,5.674603E+02,3.581114E+02,3.477504E-02,2.506028E-02 
04:00:00,6.883603E+02,4.035178E+02,4.218189E-02,2.823724E-02,6.885427E+02,4.346169E+02,4.219306E-02,3.041351E-02,6.373835E+02,1.626537E+02,3.906009E-02,1.138250E-02,6.373835E+02,1.638475E+02,3.906009E-02,1.146604E-02,5.677978E+02,3.911526E+02,3.479573E-02,2.737251E-02,6.883488E+02,4.005044E+02,4.218119E-02,2.802637E-02,6.378637E+02,1.782583E+02,3.908953E-02,1.247442E-02,6.883603E+02,4.073176E+02,4.218189E-02,2.850315E-02,5.674809E+02,3.560302E+02,3.477631E-02,2.491464E-02,1.505927E+01,1.230836E+01,9.229830E-04,8.613775E-04,6.373576E+02,1.590943E+02,3.905851E-02,1.113342E-02,5.674809E+02,3.603194E+02,3.477631E-02,2.521480E-02,1.516340E+01,2.743251E-01,9.293928E-04,1.919838E-05,1.183096E+01,1.049228E+01,7.251412E-04,7.342921E-04,5.674616E+02,3.530674E+02,3.477512E-02,2.470730E-02 
04:15:00,6.883616E+02,3.979024E+02,4.218197E-02,2.784429E-02,6.885441E+02,4.273292E+02,4.219315E-02,2.990353E-02,6.373841E+02,1.581857E+02,3.906013E-02,1.106984E-02,6.373841E+02,1.593347E+02,3.906013E-02,1.115024E-02,5.677991E+02,3.844247E+02,3.479581E-02,2.690169E-02,6.883502E+02,3.948911E+02,4.218127E-02,2.763357E-02,6.378644E+02,1.730613E+02,3.908956E-02,1.211077E-02,6.883616E+02,4.015197E+02,4.218197E-02,2.809742E-02,5.674822E+02,3.512149E+02,3.477639E-02,2.457766E-02,1.505936E+01,1.207980E+01,9.229887E-04,8.453821E-04,6.373583E+02,1.547513E+02,3.905855E-02,1.082951E-02,5.674822E+02,3.552862E+02,3.477639E-02,2.486257E-02,1.516345E+01,0.000000E+00,9.293959E-04,0.000000E+00,1.183103E+01,1.028539E+01,7.251458E-04,7.198128E-04,5.674628E+02,3.482570E+02,3.477520E-02,2.437067E-02 
04:30:00,6.883630E+02,3.925418E+02,4.218205E-02,2.746916E-02,6.885454E+02,4.203934E+02,4.219323E-02,2.941818E-02,6.373846E+02,1.539347E+02,3.906017E-02,1.077237E-02,6.373846E+02,1.550388E+02,3.906017E-02,1.084963E-02,5.678003E+02,3.780327E+02,3.479588E-02,2.645438E-02,6.883515E+02,3.895336E+02,4.218135E-02,2.725866E-02,6.378649E+02,1.680787E+02,3.908960E-02,1.176211E-02,6.883630E+02,3.959856E+02,4.218205E-02,2.771016E-02,5.674834E+02,3.466273E+02,3.477646E-02,2.425663E-02,1.505944E+01,1.185825E+01,9.229939E-04,8.298771E-04,6.373588E+02,1.506245E+02,3.905859E-02,1.054073E-02,5.674834E+02,3.504920E+02,3.477646E-02,2.452708E-02,1.516350E+01,0.000000E+00,9.293989E-04,0.000000E+00,1.183110E+01,1.008523E+01,7.251502E-04,7.058051E-04,5.674641E+02,3.436769E+02,3.477528E-02,2.405015E-02 
04:45:00,6.883642E+02,3.874341E+02,4.218213E-02,2.711174E-02,6.885467E+02,4.138021E+02,4.219331E-02,2.895693E-02,6.373852E+02,1.499043E+02,3.906020E-02,1.049033E-02,6.373852E+02,1.509641E+02,3.906020E-02,1.056449E-02,5.678014E+02,3.719681E+02,3.479595E-02,2.602998E-02,6.883528E+02,3.844299E+02,4.218143E-02,2.690151E-02,6.378655E+02,1.633265E+02,3.908963E-02,1.142957E-02,6.883642E+02,3.907133E+02,4.218213E-02,2.734121E-02,5.674846E+02,3.422651E+02,3.477653E-02,2.395136E-02,1.505953E+01,1.164348E+01,9.229989E-04,8.148465E-04,6.373594E+02,1.467156E+02,3.905862E-02,1.026719E-02,5.674846E+02,3.459339E+02,3.477653E-02,2.420810E-02,1.516354E+01,0.000000E+00,9.294015E-04,0.000000E+00,1.183117E+01,9.891550E+00,7.251543E-04,6.922505E-04,5.674652E+02,3.393241E+02,3.477535E-02,2.374555E-02 
05:00:00,6.883654E+02,3.825777E+02,4.218220E-02,2.677189E-02,6.885479E+02,4.075479E+02,4.219338E-02,2.851927E-02,6.373857E+02,1.460965E+02,3.906023E-02,1.022387E-02,6.373857E+02,1.471126E+02,3.906023E-02,1.029497E-02,5.678025E+02,3.662224E+02,3.479602E-02,2.562790E-02,6.883540E+02,3.795781E+02,4.218150E-02,2.656199E-02,6.378660E+02,1.588156E+02,3.908966E-02,1.111391E-02,6.883654E+02,3.857004E+02,4.218220E-02,2.699042E-02,5.674857E+02,3.381257E+02,3.477660E-02,2.366168E-02,1.505960E+01,1.143531E+01,9.230035E-04,8.002782E-04,6.373599E+02,1.430250E+02,3.905865E-02,1.000893E-02,5.674857E+02,3.416088E+02,3.477660E-02,2.390543E-02,1.516358E+01,0.000000E+00,9.294040E-04,0.000000E+00,1.183124E+01,9.704140E+00,7.251582E-04,6.791348E-04,5.674663E+02,3.351959E+02,3.477541E-02,2.345666E-02 
