Time,THERMAL ZONE 4:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:BALTIMORE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,4.501670E+03,3.679004E+02,2.757811E-01,2.575181E-02,4.494965E+03,2.489405E+02,2.753703E-01,1.742424E-02,4.501670E+03,2.331092E+02,2.757811E-01,1.631604E-02,6.191184E+03,1.533674E+03,3.793714E-01,1.073491E-01,4.494965E+03,2.229112E+02,2.753703E-01,1.560220E-02 
00:30:00,4.501686E+03,3.279113E+02,2.757820E-01,2.295246E-02,4.494981E+03,2.178590E+02,2.753713E-01,1.524858E-02,4.501686E+03,2.027802E+02,2.757820E-01,1.419309E-02,6.191212E+03,1.488707E+03,3.793730E-01,1.042014E-01,4.494981E+03,1.935901E+02,2.753713E-01,1.354980E-02 
00:45:00,4.501700E+03,2.896698E+02,2.757829E-01,2.027546E-02,4.494995E+03,1.878857E+02,2.753721E-01,1.315053E-02,4.501700E+03,1.735417E+02,2.757829E-01,1.214648E-02,6.191235E+03,1.444958E+03,3.793745E-01,1.011389E-01,4.494995E+03,1.652314E+02,2.753721E-01,1.156478E-02 
01:00:00,4.501713E+03,2.531135E+02,2.757837E-01,1.771646E-02,4.495007E+03,1.589843E+02,2.753729E-01,1.112752E-02,4.501713E+03,1.453529E+02,2.757837E-01,1.017338E-02,6.191256E+03,1.402387E+03,3.793758E-01,9.815887E-02,4.495007E+03,1.378103E+02,2.753729E-01,9.645429E-03 
01:15:00,4.501724E+03,2.198602E+02,2.757844E-01,1.538872E-02,4.495019E+03,1.328058E+02,2.753736E-01,9.295133E-03,4.501724E+03,1.198623E+02,2.757844E-01,8.389159E-03,6.191275E+03,1.366224E+03,3.793769E-01,9.562746E-02,4.495019E+03,1.129886E+02,2.753736E-01,7.908047E-03 
01:30:00,4.501734E+03,1.886633E+02,2.757850E-01,1.320497E-02,4.495028E+03,1.081371E+02,2.753742E-01,7.568474E-03,4.501734E+03,9.585456E+01,2.757850E-01,6.708779E-03,6.191291E+03,1.331842E+03,3.793779E-01,9.322071E-02,4.495028E+03,8.956198E+01,2.753742E-01,6.268347E-03 
01:45:00,4.501743E+03,1.594616E+02,2.757855E-01,1.116093E-02,4.495037E+03,8.495502E+01,2.753747E-01,5.945897E-03,4.501743E+03,7.330533E+01,2.757855E-01,5.130518E-03,6.191305E+03,1.299150E+03,3.793788E-01,9.093223E-02,4.495037E+03,6.751654E+01,2.753747E-01,4.725356E-03 
02:00:00,4.501751E+03,1.321931E+02,2.757860E-01,9.252253E-03,4.495045E+03,6.323386E+01,2.753752E-01,4.425610E-03,4.501751E+03,5.218845E+01,2.757860E-01,3.652544E-03,6.191318E+03,1.268086E+03,3.793796E-01,8.875778E-02,4.495045E+03,4.683538E+01,2.753752E-01,3.277886E-03 
02:15:00,4.501758E+03,1.063723E+02,2.757864E-01,7.444956E-03,4.495052E+03,4.252278E+01,2.753757E-01,2.976054E-03,4.501758E+03,3.205280E+01,2.757864E-01,2.243279E-03,6.191329E+03,1.238160E+03,3.793803E-01,8.666299E-02,4.495052E+03,2.740571E+01,2.753757E-01,1.918039E-03 
02:30:00,4.501764E+03,8.193637E+01,2.757868E-01,5.734624E-03,4.495059E+03,2.411176E+01,2.753761E-01,1.687503E-03,4.501764E+03,1.647321E+01,2.757868E-01,1.152901E-03,6.191339E+03,1.209346E+03,3.793809E-01,8.464602E-02,4.495059E+03,1.320724E+01,2.753761E-01,9.243256E-04 
02:45:00,4.501770E+03,5.882486E+01,2.757872E-01,4.117030E-03,4.495065E+03,1.104999E+01,2.753764E-01,7.733458E-04,4.501770E+03,6.095434E+00,2.757872E-01,4.265937E-04,6.191349E+03,1.181615E+03,3.793814E-01,8.270495E-02,4.495065E+03,4.110756E+00,2.753764E-01,2.876941E-04 
03:00:00,4.501775E+03,3.698250E+01,2.757875E-01,2.588303E-03,4.495070E+03,3.200748E+00,2.753767E-01,2.240058E-04,4.501775E+03,7.900453E-01,2.757875E-01,5.529133E-05,6.191357E+03,1.154931E+03,3.793819E-01,8.083714E-02,4.495070E+03,0.000000E+00,2.753767E-01,0.000000E+00 
03:15:00,4.501780E+03,1.960442E+01,2.757878E-01,1.372047E-03,4.495075E+03,0.000000E+00,2.753770E-01,0.000000E+00,4.501780E+03,0.000000E+00,2.757878E-01,0.000000E+00,6.191364E+03,1.128769E+03,3.793824E-01,7.900583E-02,4.495075E+03,0.000000E+00,2.753770E-01,0.000000E+00 
03:30:00,4.501784E+03,7.781487E+00,2.757881E-01,5.445950E-04,4.495079E+03,0.000000E+00,2.753773E-01,0.000000E+00,4.501784E+03,0.000000E+00,2.757881E-01,0.000000E+00,6.191371E+03,1.103035E+03,3.793828E-01,7.720450E-02,4.495079E+03,0.000000E+00,2.753773E-01,0.000000E+00 
03:45:00,4.501788E+03,1.308846E+00,2.757883E-01,9.159989E-05,4.495083E+03,0.000000E+00,2.753775E-01,0.000000E+00,4.501788E+03,0.000000E+00,2.757883E-01,0.000000E+00,6.191377E+03,1.077609E+03,3.793832E-01,7.542481E-02,4.495083E+03,0.000000E+00,2.753775E-01,0.000000E+00 
04:00:00,4.501792E+03,0.000000E+00,2.757885E-01,0.000000E+00,4.495087E+03,0.000000E+00,2.753778E-01,0.000000E+00,4.501792E+03,0.000000E+00,2.757885E-01,0.000000E+00,6.191382E+03,1.052372E+03,3.793835E-01,7.365825E-02,4.495087E+03,0.000000E+00,2.753778E-01,0.000000E+00 
04:15:00,4.501795E+03,0.000000E+00,2.757887E-01,0.000000E+00,4.495090E+03,0.000000E+00,2.753780E-01,0.000000E+00,4.501795E+03,0.000000E+00,2.757887E-01,0.000000E+00,6.191387E+03,1.027682E+03,3.793838E-01,7.193001E-02,4.495090E+03,0.000000E+00,2.753780E-01,0.000000E+00 
04:30:00,4.501798E+03,0.000000E+00,2.757889E-01,0.000000E+00,4.495093E+03,0.000000E+00,2.753781E-01,0.000000E+00,4.501798E+03,0.000000E+00,2.757889E-01,0.000000E+00,6.191392E+03,1.003465E+03,3.793841E-01,7.023493E-02,4.495093E+03,0.000000E+00,2.753781E-01,0.000000E+00 
04:45:00,4.501801E+03,0.000000E+00,2.757891E-01,0.000000E+00,4.495096E+03,0.000000E+00,2.753783E-01,0.000000E+00,4.501801E+03,0.000000E+00,2.757891E-01,0.000000E+00,6.191396E+03,9.796857E+02,3.793843E-01,6.857045E-02,4.495096E+03,0.000000E+00,2.753783E-01,0.000000E+00 
