Time,THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
00:30:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
00:45:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
01:00:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
01:15:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
01:30:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
01:45:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
02:00:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
02:15:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
02:30:00,1.936559E+04,0.000000E+00,1.186953E+00,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00,3.674355E+03,0.000000E+00,2.252080E-01,0.000000E+00,3.676106E+03,0.000000E+00,2.253153E-01,0.000000E+00 
