Time,THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,3.148718E+03,1.241264E+03,1.929533E-01,8.686342E-02,3.146591E+03,1.131901E+03,1.928230E-01,7.921080E-02,3.146560E+03,1.119758E+03,1.928210E-01,7.836107E-02,3.146591E+03,1.133237E+03,1.928230E-01,7.930424E-02,6.034576E+03,3.454323E+03,3.698316E-01,2.417521E-01 
00:30:00,3.148726E+03,1.206631E+03,1.929537E-01,8.443924E-02,3.146599E+03,1.098490E+03,1.928234E-01,7.687221E-02,3.146567E+03,1.087193E+03,1.928215E-01,7.608169E-02,3.146599E+03,1.100294E+03,1.928234E-01,7.699844E-02,6.034591E+03,3.391315E+03,3.698326E-01,2.373395E-01 
00:45:00,3.148732E+03,1.173001E+03,1.929541E-01,8.208549E-02,3.146605E+03,1.065851E+03,1.928238E-01,7.458791E-02,3.146574E+03,1.055076E+03,1.928219E-01,7.383395E-02,3.146605E+03,1.067836E+03,1.928238E-01,7.472683E-02,6.034604E+03,3.329391E+03,3.698334E-01,2.330037E-01 
01:00:00,3.148738E+03,1.138939E+03,1.929545E-01,7.970171E-02,3.146611E+03,1.033730E+03,1.928242E-01,7.233997E-02,3.146580E+03,1.023420E+03,1.928222E-01,7.161858E-02,3.146611E+03,1.035851E+03,1.928242E-01,7.248845E-02,6.034616E+03,3.268627E+03,3.698341E-01,2.287496E-01 
01:15:00,3.148743E+03,1.105886E+03,1.929548E-01,7.738868E-02,3.146616E+03,1.004219E+03,1.928245E-01,7.027479E-02,3.146585E+03,9.944103E+02,1.928225E-01,6.958842E-02,3.146616E+03,1.006437E+03,1.928245E-01,7.042997E-02,6.034626E+03,3.216513E+03,3.698347E-01,2.251012E-01 
01:30:00,3.148748E+03,1.073067E+03,1.929551E-01,7.509210E-02,3.146621E+03,9.760675E+02,1.928248E-01,6.830472E-02,3.146589E+03,9.667455E+02,1.928228E-01,6.765240E-02,3.146621E+03,9.783481E+02,1.928248E-01,6.846430E-02,6.034635E+03,3.166604E+03,3.698352E-01,2.216073E-01 
01:45:00,3.148752E+03,1.040857E+03,1.929554E-01,7.283812E-02,3.146625E+03,9.493282E+02,1.928250E-01,6.643350E-02,3.146594E+03,9.404646E+02,1.928231E-01,6.581326E-02,3.146625E+03,9.516455E+02,1.928250E-01,6.659565E-02,6.034643E+03,3.118796E+03,3.698357E-01,2.182608E-01 
02:00:00,3.148756E+03,1.010076E+03,1.929556E-01,7.068420E-02,3.146629E+03,9.240234E+02,1.928253E-01,6.466270E-02,3.146597E+03,9.155859E+02,1.928233E-01,6.407227E-02,3.146629E+03,9.263560E+02,1.928253E-01,6.482592E-02,6.034650E+03,3.073027E+03,3.698362E-01,2.150571E-01 
02:15:00,3.148759E+03,9.804028E+02,1.929558E-01,6.860779E-02,3.146632E+03,8.997087E+02,1.928255E-01,6.296119E-02,3.146601E+03,8.916610E+02,1.928235E-01,6.239805E-02,3.146632E+03,9.020397E+02,1.928255E-01,6.312430E-02,6.034656E+03,3.028633E+03,3.698365E-01,2.119498E-01 
02:30:00,3.148762E+03,9.519234E+02,1.929560E-01,6.661492E-02,3.146635E+03,8.763882E+02,1.928257E-01,6.132927E-02,3.146604E+03,8.686954E+02,1.928237E-01,6.079096E-02,3.146635E+03,8.787038E+02,1.928257E-01,6.149131E-02,6.034662E+03,2.985645E+03,3.698369E-01,2.089411E-01 
02:45:00,3.148765E+03,9.246826E+02,1.929562E-01,6.470870E-02,3.146638E+03,8.540605E+02,1.928258E-01,5.976684E-02,3.146606E+03,8.466891E+02,1.928239E-01,5.925101E-02,3.146638E+03,8.563498E+02,1.928258E-01,5.992703E-02,6.034667E+03,2.944079E+03,3.698372E-01,2.060320E-01 
03:00:00,3.148768E+03,8.986989E+02,1.929563E-01,6.289046E-02,3.146641E+03,8.327225E+02,1.928260E-01,5.827366E-02,3.146609E+03,8.256404E+02,1.928240E-01,5.777808E-02,3.146641E+03,8.349767E+02,1.928260E-01,5.843140E-02,6.034671E+03,2.903944E+03,3.698375E-01,2.032231E-01 
03:15:00,3.148770E+03,8.734842E+02,1.929564E-01,6.112601E-02,3.146643E+03,8.118755E+02,1.928261E-01,5.681484E-02,3.146611E+03,8.050516E+02,1.928242E-01,5.633733E-02,3.146643E+03,8.140879E+02,1.928261E-01,5.696966E-02,6.034675E+03,2.864556E+03,3.698377E-01,2.004665E-01 
03:30:00,3.148772E+03,8.490122E+02,1.929566E-01,5.941354E-02,3.146645E+03,7.914956E+02,1.928262E-01,5.538870E-02,3.146613E+03,7.849019E+02,1.928243E-01,5.492730E-02,3.146645E+03,7.936610E+02,1.928262E-01,5.554023E-02,6.034679E+03,2.825911E+03,3.698379E-01,1.977619E-01 
03:45:00,3.148774E+03,8.252537E+02,1.929567E-01,5.775099E-02,3.146647E+03,7.715611E+02,1.928264E-01,5.399374E-02,3.146615E+03,7.651720E+02,1.928244E-01,5.354665E-02,3.146647E+03,7.736755E+02,1.928264E-01,5.414170E-02,6.034682E+03,2.788001E+03,3.698381E-01,1.951089E-01 
04:00:00,3.148775E+03,8.021778E+02,1.929568E-01,5.613621E-02,3.146649E+03,7.520525E+02,1.928265E-01,5.262858E-02,3.146617E+03,7.458446E+02,1.928245E-01,5.219416E-02,3.146649E+03,7.541132E+02,1.928265E-01,5.277278E-02,6.034685E+03,2.750814E+03,3.698383E-01,1.925064E-01 
04:15:00,3.148777E+03,7.802583E+02,1.929569E-01,5.460234E-02,3.146650E+03,7.334581E+02,1.928266E-01,5.132739E-02,3.146618E+03,7.274105E+02,1.928246E-01,5.090419E-02,3.146650E+03,7.354629E+02,1.928266E-01,5.146768E-02,6.034688E+03,2.715029E+03,3.698385E-01,1.900021E-01 
04:30:00,3.148778E+03,7.594838E+02,1.929570E-01,5.314860E-02,3.146652E+03,7.157804E+02,1.928266E-01,5.009034E-02,3.146620E+03,7.098734E+02,1.928247E-01,4.967699E-02,3.146652E+03,7.177279E+02,1.928266E-01,5.022663E-02,6.034691E+03,2.680638E+03,3.698387E-01,1.875953E-01 
04:45:00,3.148780E+03,7.398913E+02,1.929571E-01,5.177757E-02,3.146653E+03,6.990616E+02,1.928267E-01,4.892040E-02,3.146621E+03,6.932771E+02,1.928248E-01,4.851562E-02,3.146653E+03,7.009514E+02,1.928267E-01,4.905264E-02,6.034693E+03,2.647749E+03,3.698388E-01,1.852937E-01 
05:00:00,3.148781E+03,7.214594E+02,1.929571E-01,5.048775E-02,3.146654E+03,6.832960E+02,1.928268E-01,4.781716E-02,3.146622E+03,6.776173E+02,1.928249E-01,4.741978E-02,3.146654E+03,6.851278E+02,1.928268E-01,4.794534E-02,6.034695E+03,2.616324E+03,3.698389E-01,1.830945E-01 
